0.0100,1782361444306,0.0000,127.0.0.1
0.0100,1782361450366,0.0001,127.0.0.1
0.0100,1782361457382,0.0002,127.0.0.1
0.0100,1782364855927,0.0003,127.0.0.1
0.0100,1782364864868,0.0004,127.0.0.1
0.0100,1782364873906,0.0005,127.0.0.1
0.0100,1782364882937,0.0006,127.0.0.1
0.0100,1782364891983,0.0007,127.0.0.1
0.0100,1782364901000,0.0008,127.0.0.1
0.0100,1782364910019,0.0009,127.0.0.1
0.0100,1782364919047,0.0010,127.0.0.1
0.0100,1782364928099,0.0011,127.0.0.1
0.0100,1782364937114,0.0013,127.0.0.1
0.0100,1782364946141,0.0014,127.0.0.1
0.0100,1782364955175,0.0015,127.0.0.1
0.0100,1782364964224,0.0016,127.0.0.1
0.0100,1782364973241,0.0017,127.0.0.1
0.0100,1782364982268,0.0018,127.0.0.1
0.0100,1782364991296,0.0019,127.0.0.1
0.0100,1782365000348,0.0020,127.0.0.1
0.0100,1782365009359,0.0021,127.0.0.1
0.0100,1782365018397,0.0022,127.0.0.1
0.0100,1782365027427,0.0023,127.0.0.1
0.0100,1782365036469,0.0024,127.0.0.1
0.0100,1782365045490,0.0025,127.0.0.1
0.0100,1782365054526,0.0026,127.0.0.1
0.0100,1782365063560,0.0027,127.0.0.1
0.0100,1782365072614,0.0028,127.0.0.1
0.0100,1782365081630,0.0029,127.0.0.1
0.0100,1782365090663,0.0030,127.0.0.1
0.0100,1782365099695,0.0031,127.0.0.1
0.0100,1782365108743,0.0032,127.0.0.1
0.0100,1782365117760,0.0033,127.0.0.1
0.0100,1782365126790,0.0034,127.0.0.1
0.0100,1782365135822,0.0036,127.0.0.1
0.0100,1782365144875,0.0037,127.0.0.1
0.0100,1782365153888,0.0038,127.0.0.1
0.0100,1782365162924,0.0039,127.0.0.1
0.0100,1782365171959,0.0040,127.0.0.1
0.0100,1782365181015,0.0041,127.0.0.1
0.0100,1782365190027,0.0042,127.0.0.1
0.0100,1782365199049,0.0043,127.0.0.1
0.0100,1782365208081,0.0044,127.0.0.1
0.0100,1782365217129,0.0045,127.0.0.1
0.0100,1782365226140,0.0046,127.0.0.1
0.0100,1782365235180,0.0047,127.0.0.1
0.0100,1782365244209,0.0048,127.0.0.1
0.0100,1782365253262,0.0049,127.0.0.1
0.0100,1782365262274,0.0050,127.0.0.1
0.0100,1782365271310,0.0051,127.0.0.1
0.0100,1782365280349,0.0052,127.0.0.1
0.0100,1782365289402,0.0053,127.0.0.1
0.0100,1782365298420,0.0054,127.0.0.1
0.0100,1782365307449,0.0055,127.0.0.1
0.0100,1782365316479,0.0056,127.0.0.1
0.0100,1782365325533,0.0058,127.0.0.1
0.0100,1782365334549,0.0059,127.0.0.1
0.0100,1782365343583,0.0060,127.0.0.1
0.0100,1782365352618,0.0061,127.0.0.1
0.0100,1782365361659,0.0062,127.0.0.1
0.0100,1782365370673,0.0063,127.0.0.1
0.0100,1782365411676,0.0002,127.0.0.1
0.0100,1782365419627,0.0003,127.0.0.1
0.0100,1782365428667,0.0004,127.0.0.1
0.0100,1782365437668,0.0005,127.0.0.1
